Global_Frame_ID,Object_ID,Centroid_X,Centroid_Y,Size_Pixels,Size_um2
38,6,491,244,1261,132.374736
38,7,678,89,958,100.567008
38,8,545,542,1094,114.843744
38,10,909,314,888,93.218688
38,11,144,192,1155,121.24728
38,12,279,118,1384,145.286784
38,13,258,274,1239,130.065264
38,14,306,328,1029,108.020304
38,15,593,97,1197,125.656272
38,16,402,437,1075,112.8492
39,1,272,238,871,91.434096
39,2,500,8,772,81.041472
39,4,165,440,1853,194.520528
39,5,558,151,1648,173.000448
39,6,498,251,1197,125.656272
39,7,675,90,957,100.462032
39,8,534,547,738,77.472288
39,10,915,320,956,100.357056
39,11,149,184,1182,124.081632
39,12,282,109,1357,142.452432
39,13,269,269,1130,118.62288
39,14,312,317,1100,115.4736
39,15,584,88,1178,123.661728
39,16,406,427,1041,109.280016
40,1,282,244,441,46.294416
40,2,508,8,854,89.649504
40,4,157,451,1846,193.785696
40,5,561,156,1692,177.619392
40,6,506,257,1185,124.39656
40,7,671,89,938,98.467488
40,8,521,563,1014,106.445664
40,10,924,327,1013,106.340688
40,11,155,175,1217,127.755792
40,12,284,98,1297,136.153872
40,13,280,263,1243,130.485168
40,14,315,311,1065,111.79944
40,15,574,80,1124,117.993024
40,16,410,418,1073,112.639248
41,1,299,244,250,26.244
41,2,503,9,1048,110.014848
41,4,150,466,1805,189.48168
41,5,565,160,1682,176.569632
41,6,510,260,1128,118.412928
41,7,670,86,1024,107.495424
41,8,519,573,1333,139.933008
41,10,933,335,1035,108.65016
41,11,163,168,1224,128.490624
41,12,288,89,1371,143.922096
41,13,289,259,1327,139.303152
41,14,319,301,1044,109.594944
41,15,566,74,1128,118.412928
41,16,414,408,1109,116.418384
42,1,296,276,721,75.687696
42,2,502,11,1215,127.54584
42,4,145,480,1673,175.624848
42,5,570,164,1995,209.42712
42,6,508,258,1147,120.407472
42,7,668,80,1007,105.710832
42,8,513,582,1397,146.651472
42,10,941,343,1075,112.8492
42,11,171,161,1165,122.29704
42,12,290,78,1350,141.7176
42,13,300,252,1232,129.330432
42,14,321,292,1083,113.689008
42,15,554,67,1091,114.528816
42,16,418,397,1192,125.131392
43,1,301,288,734,77.052384
43,2,501,13,1285,134.89416
43,4,138,494,1597,167.646672
43,5,578,164,2238,234.936288
43,6,506,254,1168,122.611968
43,7,665,72,987,103.611312
43,8,507,591,1473,154.629648
43,10,949,351,1122,117.783072
43,11,180,154,1170,122.82192
43,12,295,69,1334,140.037984
43,13,309,246,1238,129.960288
43,14,325,283,971,101.931696
43,15,544,61,1089,114.318864
43,16,421,386,1225,128.5956
44,1,308,300,818,85.870368
44,2,501,18,1322,138.778272
44,4,133,507,1609,168.906384
44,5,578,169,1730,181.60848
44,6,501,251,1236,129.750336
44,7,662,63,1010,106.02576
44,8,501,600,1444,151.585344
44,10,957,359,1120,117.57312
